SampleID,Building_Name,Main_Area,Main_Area_short,Main_Area_simplified_for_PERMANOVA,FloorVSnotFloor_for_PERMANOVA,Area_details,Material,Material_simplified,Material_simplified_PERMANOVA,BuildingType
P3_A11,5PP,couch_Rarmrest,couch_Rarmrest,couch,other,couch3,wood,wood,wood,office
P3_A12,5PP,blank,blank,blank,other,blank,blank,blank,blank,office
P3_A2,5PP,stair_handrail,stair_handrail,stair_handrail,other,middle,metal,metal,metal,office
P3_A3,5PP,stair_handrail,stair_handrail,stair_handrail,other,top,metal,metal,metal,office
P3_A4,5PP,elevator_DoorClose,elevator_Button,elevator_Button,other,Doorclose,plastic,plastic,plastic,office
P3_A5,5PP,elevator_callButton,elevator_Button,elevator_Button,other,callButton,plastic,plastic,plastic,office
P3_A6,5PP,elevator_floorButton,elevator_Button,elevator_Button,other,floorButton,plastic,plastic,plastic,office
P3_A7,5PP,elevatorFloor,floor,floor,floor,underButtons,tile,linoleum,linoleum,office
P3_A8,5PP,elevatorFloor,floor,floor,floor,middlePart,tile,linoleum,linoleum,office
P3_A9,5PP,couch_Rarmrest,couch_Rarmrest,couch,other,couch1,wood,wood,wood,office
P3_B1,5PP,floor_addIfOfficeOrLab,floor,floor,floor,3102,tile,linoleum,linoleum,office
P3_B10,5PP,floor_addIfOfficeOrLab,floor,floor,floor,2019,tile,linoleum,linoleum,office
P3_B11,5PP,floor_addIfOfficeOrLab,floor,floor,floor,2008,tile,linoleum,linoleum,office
P3_B12,5PP,blank,blank,blank,other,blank,blank,blank,blank,office
P3_B2,5PP,floor_addIfOfficeOrLab,floor,floor,floor,3201,tile,linoleum,linoleum,office
P3_B3,5PP,floor_addIfOfficeOrLab,floor,floor,floor,3401,tile,linoleum,linoleum,office
P3_B4,5PP,floor_addIfOfficeOrLab,floor,floor,floor,3301,tile,linoleum,linoleum,office
P3_B5,5PP,floor_addIfOfficeOrLab,floor,floor,floor,3310,tile,linoleum,linoleum,office
P3_B6,5PP,floor_addIfOfficeOrLab,floor,floor,floor,3215,tile,linoleum,linoleum,office
P3_B7,5PP,floor_addIfOfficeOrLab,floor,floor,floor,3203,tile,linoleum,linoleum,office
P3_B8,5PP,floor_addIfOfficeOrLab,floor,floor,floor,2100,tile,linoleum,linoleum,office
P3_B9,5PP,floor_addIfOfficeOrLab,floor,floor,floor,2009,tile,linoleum,linoleum,office
P3_C1,5PP,door_handle_labOrOffice,handle,handle,other,2600,blank,blank,blank,office
P3_C10,5PP,buildingMap,buildingMap,buildingMap,other,corner of map,metal,metal,metal,office
P3_C11,5PP,flag,flag,other,other,flagpole of indoor flag ,metal,metal,metal,office
P3_C12,5PP,blank,blank,blank,other,blank,blank,blank,blank,office
P3_C2,5PP,door_handle_labOrOffice,handle,handle,other,2300,tile,linoleum,linoleum,office
P3_C3,5PP,door_handle_labOrOffice,handle,handle,other,2005,tile,linoleum,linoleum,office
P3_C4,5PP,building_door_handle,handle,handle,other,inner_most_doorLocation,metal,metal,metal,office
P3_C5,5PP,building_door_handle,handle,handle,other,inner_most_doorLocation,metal,metal,metal,office
P3_C6,5PP,building_door_handle,handle,handle,other,inner_most_doorLocation,metal,metal,metal,office
P3_C7,5PP,floor_by_exit,floor,floor,floor,middle indoor,carpet,cloth,cloth,office
P3_C8,5PP,floor_by_exit,floor,floor,floor,out of the first door,carpet,cloth,cloth,office
P3_C9,5PP,floor_by_exit,floor,floor,floor,corner of indoor,carpet,cloth,cloth,office
